"For more biodiversity, the level of disturbance should be<br><br>a) less<br>b) intermediate<br>c) more<br>d) none of these";"intermediate";"week02"
"There is more biodiversity in areas with<br><br>a) less competition, less predation<br>b) less competition, more predation<br>c) more competition, more predation<br>d) more competition, less predation";"more competition, more predation";"week02"
"""the diversity that exists among different geographies"" is<br><br>a) alpha (α) biodiversity<br>b) beta (β) biodiversity<br>c) gamma (γ) biodiversity<br>d) delta (δ) biodiversity";"gamma (γ) biodiversity";"week02"
"The laboratory approach to Ecology uses<br><br>a) equations<br>b) models<br>c) observations<br>d) experiments";"experiments";"week02"
"""groups of actually or potentially interbreeding natural populations, which are reproductively isolated from other such groups"" is a definition of<br><br>a) cells<br>b) species<br>c) ecosystems<br>d) biomes";"species";"week02"
"I observe a monkey take a tick out of another monkey's head and eat it. In the social context, this behaviour would be called<br><br>a) tick hunting<br>b) auto grooming<br>c) allo grooming<br>d) foraging";"allo grooming";"week03"
"The scientific study of animal behaviour is called<br><br>a) behaviourism<br>b) ecology<br>c) ethology<br>d) prey-predator dynamics";"ethology";"week03"
"Hamilton's rule can be stated as<br><br>a) rB < C<br>b) rB > C<br>c) rB = C<br>d) rB + C = 0";"rB > C";"week03"
"Harmonious interactions occur where<br><br>a) at least one participant is benefited<br>b) at least one participant is unharmed<br>c) both participants are benefitted<br>d) both participants are unharmed";"both participants are unharmed";"week03"
"The interaction between exotic shrubs and trees through the action of seed predators is an example of<br><br>a) infraspecific competition<br>b) apparent competition<br>c) disguised competition<br>d) harmonious competition";"apparent competition";"week03"
"An inventory of behaviours exhibited by an animal during a behaviour exercise is called<br><br>a) ecogram<br>b) ethogram<br>c) behaviourogram<br>d) animalogram";"ethogram";"week03"
"Trampling of grass due to the movement of animals is an example of<br><br>a) mutualism<br>b) amensalism<br>c) commensalism<br>d) protocooperation";"amensalism";"week03"
"I observe a bird take a tick out of another bird's head and eat it. In the social context, this behaviour would be called<br><br>a) tick hunting<br>b) auto grooming<br>c) allo grooming<br>d) foraging";"allo grooming";"week03"
"Birds on giraffe are an example of<br><br>a) colony<br>b) commensalism<br>c) protocooperation<br>d) allelopathy";"protocooperation";"week03"
"Egrets with buffaloes are an example of<br><br>a) colony<br>b) commensalism<br>c) protocooperation<br>d) allelopathy";"commensalism";"week03"
"If we all became vegetarians, we'll be able to support our large populations. This can be explained through<br><br>a) 10% rule<br>b) 1% rule<br>c) trophic cascade<br>d) biodiversity";"10% rule";"week04"
"Net primary productivity is given by<br><br>a) APAR × LUE<br>b) APAR + LUE<br>c) APAR - LUE<br>d) APAR / LUE";"APAR × LUE";"week04"
"Trees → Birds → Parasites → Hyperparasites represents<br><br>a) upright pyramid of numbers<br>b) inverted pyramid of numbers<br>c) spindle pyramid of numbers<br>d) dumb-bell pyramid of numbers";"inverted pyramid of numbers";"week04"
"Consider the food chain: Grass → Grasshopper → Frog → Snake → Hawk. As we move up the food chain,<br><br>a) available energy decreases<br>b) available energy increases<br>c) available energy remains same<br>d) available energy is zero everywhere";"available energy decreases";"week04"
"Consider the food chain: Grass → Grasshopper → Frog → Snake → Hawk. In this food chain,<br><br>a) frog is producer<br>b) frog is consumer and carnivore<br>c) frog is consumer and herbivore<br>d) frog is decomposer";"frog is consumer and carnivore";"week04"
"Consider the food chain: Grass → Grasshopper → Frog → Snake → Hawk. In this food chain,<br><br>a) more number of hawks than grasshoppers can be supported<br>b) more number of grasshoppers than hawks can be supported<br>c) equal number of hawks and grasshoppers can be supported<br>d) none of these";"more number of grasshoppers than hawks can be supported";"week04"
"At the compensation point,<br><br>a) photosynthesis = respiration<br>b) photosynthesis < respiration<br>c) photosynthesis > respiration<br>d) photosynthesis = 0";"photosynthesis = respiration";"week04"
"Glacial lakes are typical examples of<br><br>a) eutrophic lakes<br>b) hypereutrophic lakes<br>c) oligotrophic lakes<br>d) mesotrophic lakes";"oligotrophic lakes";"week04"
"Consider the food chain: Grass → Grasshopper → Frog → Snake → Hawk. In this food chain,<br><br>a) hawk is producer<br>b) hawk is consumer and carnivore<br>c) hawk is consumer and herbivore<br>d) hawk is decomposer";"hawk is consumer and carnivore";"week04"
"Tree → Frugivorous birds → Hawk represents<br><br>a) upright pyramid of numbers<br>b) inverted pyramid of numbers<br>c) spindle pyramid of numbers<br>d) dumb-bell pyramid of numbers";"spindle pyramid of numbers";"week04"
"Which of these is true?<br><br>a) Physiological longevity > Ecological longevity<br>b) Physiological longevity = Ecological longevity<br>c) Physiological longevity < Ecological longevity<br>d) a or b";"a or b";"week05"
"A sampling procedure such that each possible combination of sampling units out of the population has the same chance of being selected is referred to as<br><br>a) Simple random sampling<br>b) Systematic sampling<br>c) Stratified sampling<br>d) Multistage sampling";"Simple random sampling";"week05"
"Cover board surveys are typically used for sampling<br><br>a) herpetofauna<br>b) fishes<br>c) large mammals<br>d) carnivores";"herpetofauna";"week05"
"_________ is how close the measured values are to the correct value.<br><br>a) Accuracy<br>b) Precision<br>c) Bias<br>d) Variance";"Accuracy";"week05"
"The logistic growth equation, when plotted, appears<br><br>a) I shaped<br>b) J shaped<br>c) S shaped<br>d) O shaped";"S shaped";"week05"
"The minimum replacement level fertility for a population to grow should be greater than<br><br>a) 1<br>b) 2<br>c) 3<br>d) 4";"2";"week05"
"The juvenile mortality rate is the annual number of deaths of juveniles per<br><br>a) 100 births<br>b) 1000 births<br>c) 100 live births<br>d) 1000 live births";"1000 live births";"week05"
"_______ employs a simple rule of selecting every kth unit starting with a number chosen at random from 1 to k as the random start.<br><br>a) Simple random sampling<br>b) Systematic sampling<br>c) Stratified sampling<br>d) Multistage sampling";"Systematic sampling";"week05"
"Pan traps are used for sampling<br><br>a) bees<br>b) butterflies<br>c) non-pollinator insects<br>d) pollinator insects";"pollinator insects";"week05"
"Which of these is not a measure of absolute population density?<br><br>a) total count<br>b) pelt count<br>c) capture-recapture method<br>d) removal method";"pelt count";"week05"
"Which of these is correct? a. b. c. d.<br><br>a) Fundamental niche > Realised niche<br>b) Fundamental niche = Realised niche<br>c) Fundamental niche < Realised niche<br>d) a or b";"a or b";"week06"
"Which of these is not a characteristic of pioneer species<br><br>a) ability to grow on bare rocks<br>b) ability to tolerate extreme temperatures<br>c) large size<br>d) short life span";"large size";"week06"
"A climax caused by wildfires is an example of<br><br>a) climatic climax<br>b) edaphic climax<br>c) disclimax<br>d) catastrophic climax";"catastrophic climax";"week06"
"Importance value varies from<br><br>a) 0 to 10<br>b) 0 to 50<br>c) 0 to 100<br>d) 0 to 300";"0 to 300";"week06"
"When compared to generalist species, specialist species have<br><br>a) narrower niches<br>b) broader niches<br>c) same-size niches<br>d) none of these";"narrower niches";"week06"
"The climax near Tindni village is being controlled by disturbance by cattle. This is an example of a. b. c. d.<br><br>a) climatic climax<br>b) edaphic climax<br>c) disclimax<br>d) catastrophic climax";"disclimax";"week06"
"Lithosere is an example of<br><br>a) hydrosere<br>b) xerosere<br>c) psammosere<br>d) halosere";"xerosere";"week06"
"A species found most frequently in a particular community, but also present occasionally in others is called<br><br>a) accidental species<br>b) indifferent species<br>c) selective species<br>d) exclusive species";"selective species";"week06"
"Which of these depicts correctly the lithosere primary succession?<br><br>a) Rock → Crustose lichen → Foliose lichen → Moss → Herbaceous stage → Shrub → Woodland → Climax<br>b) Rock → Foliose lichen → Crustose lichen → Moss → Herbaceous stage → Shrub → Woodland → Climax<br>c) Moss → Crustose lichen → Foliose lichen → Rock → Herbaceous stage → Shrub → Woodland → Climax<br>d) Rock → Crustose lichen → Foliose lichen → shrub → Herbaceous stage → Moss → woodland → climax";"Rock → Crustose lichen → Foliose lichen → Moss → Herbaceous stage → Shrub → Woodland → Climax";"week06"
"Importance value can be written as<br><br>a) Relative density + Relative frequency X Relative dominance<br>b) Relative density X Relative frequency + Relative dominance<br>c) Relative density + Relative frequency + Relative dominance<br>d) Relative density X Relative frequency X Relative dominance";"Relative density + Relative frequency + Relative dominance";"week06"
"Which of these is not a physical factor of habitat?<br><br>a) soil<br>b) moisture<br>c) predators<br>d) temperature";"predators";"week07"
"The movement of individuals away from their place of birth or hatching or seed production into a new habitat or area to survive and reproduce is called<br><br>a) translocation<br>b) migration<br>c) dispersal<br>d) drifting";"dispersal";"week07"
"The movement of lions across the Gir landscape is an example of<br><br>a) diffusion<br>b) secular dispersal<br>c) jump dispersal<br>d) drifting";"diffusion";"week07"
"I tried growing vegetables under my teak plantation, but the vegetable plants died out. I should be concerned about<br><br>a) autophagy<br>b) allelophagy<br>c) autopathy<br>d) allelopathy";"allelopathy";"week07"
"The regular, seasonal movement of animals, often along fixed routes is called<br><br>a) translocation<br>b) migration<br>c) dispersal<br>d) drifting";"migration";"week07"
"""The rate of any biological process is limited by that factor in least amount relative to requirement, so there is a single limiting factor."" This is the statement for<br><br>a) Liebig’s law of the minimum<br>b) Liebig’s law of the maximum<br>c) Shelford’s law of tolerance<br>d) Shelford’s law of intolerance";"Liebig’s law of the minimum";"week07"
"""Quick movement over large distances, often across unsuitable terrain"" is a description of<br><br>a) diffusion<br>b) secular dispersal<br>c) jump dispersal<br>d) drifting";"jump dispersal";"week07"
"""The geographical distribution of a species will be controlled by that environmental factor for which the organism has the narrowest range of tolerance."" This is the statement for<br><br>a) Liebig’s law of the minimum<br>b) Liebig’s law of the maximum<br>c) Shelford’s law of tolerance<br>d) Shelford’s law of intolerance";"Shelford’s law of tolerance";"week07"
"Good climate is a<br><br>a) chemical factor<br>b) demographic factor<br>c) push factor<br>d) pull factor";"pull factor";"week07"
"Scarcity of food is a<br><br>a) chemical factor<br>b) demographic factor<br>c) push factor<br>d) pull factor";"push factor";"week07"
"Zoo is an example of<br><br>a) in-situ conservation<br>b) ex-situ conservation<br>c) in-situ preservation<br>d) ex-situ preservation";"ex-situ conservation";"week08"
"The “subset of physical and biotic environmental factors that permit an animal (or plant) to survive and reproduce” is the definition of<br><br>a) habitat<br>b) ecosystem<br>c) biome<br>d) biosphere";"habitat";"week08"
"Which of these correctly represents the process of habitat fragmentation and loss?<br><br>a) Original forest → Dissection → Perforation → Fragmentation → Attrition<br>b) Original forest → Dissection → Attrition → Fragmentation → Perforation<br>c) Original forest → Dissection → Perforation → Attrition → Fragmentation<br>d) Original forest → Dissection → Fragmentation → Perforation → Attrition";"Original forest → Dissection → Perforation → Fragmentation → Attrition";"week08"
"The acronym HIPPO does not include<br><br>a) habitat loss<br>b) invasive species<br>c) pollination<br>d) pollution";"pollination";"week08"
"We prefer those areas for the creation of a conservation reserve where the level of threat is<br><br>a) very high<br>b) medium<br>c) very low<br>d) non-existent";"medium";"week08"
"The acronym HIPPO does not include<br><br>a) habitat loss<br>b) habitat enhancement<br>c) invasive species<br>d) human over-population";"habitat enhancement";"week08"
"According to Leopold, which of these is not a tool of habitat management?<br><br>a) fire<br>b) gun<br>c) cattle<br>d) sickle";"sickle";"week08"
"Captive breeding is an example of<br><br>a) in-situ conservation<br>b) ex-situ conservation<br>c) in-situ preservation<br>d) ex-situ preservation";"ex-situ conservation";"week08"
"Which of these is a stochastic factor?<br><br>a) birth rate<br>b) death rate<br>c) population structure<br>d) environmental fluctuation";"environmental fluctuation";"week08"
"Which of these is a deterministic factor?<br><br>a) environmental variation<br>b) forest fire<br>c) death rate<br>d) diseases";"death rate";"week08"
"Which of these is a positive check according to Malthus?<br><br>a) late marriage<br>b) war<br>c) celibacy<br>d) moral restraint";"war";"week09"
"________ determines which projects or developments require a full or partial impact assessment study.<br><br>a) screening<br>b) scoping<br>c) reporting<br>d) review";"screening";"week09"
"Which of these is a pillar of sustainability<br><br>a) social sustainability<br>b) industrial sustainability<br>c) agricultural sustainability<br>d) trans-boundary sustainability";"social sustainability";"week09"
"Which of these is not a pillar of sustainability?<br><br>a) environmental sustainability<br>b) economic sustainability<br>c) trans-boundary sustainability<br>d) social sustainability";"trans-boundary sustainability";"week09"
"The book ""An Essay on the Principle of Population"" was written by<br><br>a) Darwin<br>b) Malthus<br>c) Spencer<br>d) Owens";"Malthus";"week09"
"According to Malthusian model,<br><br>a) Population grows in geometric progression, food supply increases in arithmetic progression<br>b) Population grows in geometric progression, food supply increases in geometric progression<br>c) Population grows in arithmetic progression, food supply increases in arithmetic progression<br>d) Population grows in arithmetic progression, food supply increases in geometric progression";"Population grows in geometric progression, food supply increases in arithmetic progression";"week09"
"The quantum of human impacts is given by<br><br>a) I = P × A × T<br>b) I = P + A + T<br>c) I = P + A - T<br>d) I = P - (A + T)";"I = P × A × T";"week09"
"____________is used to identify which potential impacts are relevant to assess.<br><br>a) screening<br>b) scoping<br>c) reporting<br>d) review";"scoping";"week09"
"The demographic transition sees a society move from<br><br>a) high birth rate, low death rate to low birth rate, low death rate<br>b) low birth rate, high death rate to low birth rate, low death rate<br>c) high birth rate, high death rate to low birth rate, low death rate<br>d) high birth rate, high death rate to low birth rate, high death rate";"high birth rate, high death rate to low birth rate, low death rate";"week09"
"Which of these is a preventive check according to Malthus?<br><br>a) foresight<br>b) vice<br>c) misery<br>d) flood";"foresight";"week09"
"Which of these is not a climatic forcing for Earth?<br><br>a) changes in plate tectonics<br>b) changes in Earth's orbit<br>c) changes in Sun's orbit<br>d) changes in Sun's strength";"changes in Sun's orbit";"week10"
"“The ability of a system to adjust to climate change (including climate variability and extremes) to moderate potential damages, to take advantage of opportunities, or to cope with the consequences” is a definition for<br><br>a) adaptive response<br>b) adaptive capacity<br>c) mitigative response<br>d) mitigative capacity";"adaptive capacity";"week10"
"Which of these is not a principle of ecological restoration?<br><br>a) ecological integrity<br>b) short-term sustainability<br>c) benefits and engages society<br>d) informed by past and future";"short-term sustainability";"week10"
"Mesodebris in the context of plastic debris has fragments of size<br><br>a) > 20 mm<br>b) 5 - 20 mm<br>c) < 5 mm<br>d) < 1 mm";"5 - 20 mm";"week10"
"“Any changes in natural or human systems that inadvertently increase vulnerability to climatic stimuli; an adaptation that does not succeed in reducing vulnerability but increases it instead” is a definition for<br><br>a) adaptation<br>b) mitigation<br>c) maladaptation<br>d) malmitigation";"maladaptation";"week10"
"Which of these is not a principle of ecological restoration?<br><br>a) ecological integrity<br>b) long-term sustainability<br>c) benefits and engages scientists<br>d) informed by past and future";"benefits and engages scientists";"week10"
"Which of these is not a climatic forcing for Earth?<br><br>a) changes in plate tectonics<br>b) changes in Earth's orbit<br>c) changes in Moon's orbit<br>d) changes in Sun's strength";"changes in Moon's orbit";"week10"
"Because of climate change, Mudumalai Tiger Reserve is suffering from frequent droughts. The management has built several artificial water holes for animals, and fills them up regularly with tankers. In the context of climate change, such an action would be called<br><br>a) adaptation<br>b) mitigation<br>c) deceleration<br>d) maladaptation";"adaptation";"week10"
"Macrodebris in the context of plastic debris has fragments of size<br><br>a) > 20 mm<br>b) 5 - 20 mm<br>c) < 5 mm<br>d) < 1 mm";"> 20 mm";"week10"
"The government came up with a regulation that incandescent bulbs be replaced by LED bulbs, so that electricity consumption and release of carbon dioxide from power plants is reduced. In the context of climate change, such an action would be called<br><br>a) adaptation<br>b) mitigation<br>c) deceleration<br>d) maladaptation";"mitigation";"week10"
"Ludwig's ratchet predicts<br><br>a) decreasing harvesting rate<br>b) constant harvesting rate<br>c) increasing harvesting rate<br>d) fluctuating harvesting rate";"increasing harvesting rate";"week11"
"A pest population is called controlled when<br><br>a) it is not increasing<br>b) it is decreasing<br>c) it is not causing any economic damage<br>d) it is not causing excessive economic damage";"it is not causing excessive economic damage";"week11"
"Which of these is not an impact of toxic chemicals?<br><br>a) lethal effects<br>b) sub-lethal effects<br>c) reduction of existing stressors<br>d) reduced fecundity";"reduction of existing stressors";"week11"
"Which of these is correct?<br><br>a) The maximum sustainable yield is near the beginning of the sigmoidal curve.<br>b) The maximum sustainable yield is near the mid-point of the sigmoidal curve.<br>c) The maximum sustainable yield is near the end of the sigmoidal curve.<br>d) None of these";"The maximum sustainable yield is near the mid-point of the sigmoidal curve.";"week11"
"A root zone treatment plant is an example of<br><br>a) phytoremediation<br>b) biological control<br>c) biomagnification<br>d) bioaccumulation";"phytoremediation";"week11"
"A pest population is called uncontrolled when<br><br>a) it is increasing<br>b) it is not decreasing<br>c) it is causing some economic damage<br>d) it is causing excessive economic damage";"it is causing excessive economic damage";"week11"
"The impact of El Nino on fishery collapse in Peru is explained by<br><br>a) match hypothesis<br>b) mismatch hypothesis<br>c) match-mismatch hypothesis<br>d) none of these";"match-mismatch hypothesis";"week11"
"A deciduous forest in Madhya Pradesh was converted to a mine. After the mining operations were over, the pits were filled up with soil and species of deciduous forest planted again. This is an example of recovery restoration enhancement";"restoration";"week11"
"A deciduous forest in Madhya Pradesh was converted to a mine. After the mining operations were over, the pits were filled up with water and a lake was created. It is now visited by several migratory birds. This is an example of<br><br>a) recovery<br>b) restoration<br>c) enhancement<br>d) replacement";"replacement";"week11"
"Which of these is correct?<br><br>a) R + G = M + F<br>b) R + M = G + F<br>c) R + F = M + G<br>d) R + G + M + F = 0";"R + G = M + F";"week11"
